run,learner_id,country,age_range,highest_education_level,started_course,steps_completed,max_week_completed,last_week,early_dropout,id,left_at,leaving_reason,last_completed_step_at,last_completed_step,last_completed_week_number,last_completed_step_number
6,95958331-fc54-4a02-83e2-f02bdb4fca31,NA,NA,NA,TRUE,5,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,bbd027c0-fc8f-40d0-a3f9-39f5c4ca7590,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,e29a40f3-a03e-455b-bc05-eb074e0065a0,NA,NA,NA,TRUE,18,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,ad7dde1b-7433-4175-a9cb-0c6fc224213d,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,f0011040-bcee-4c88-8dc7-9d5b26bb5744,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,3756368a-ecb6-4711-8144-cb15f8307da0,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,b8594eed-f5fc-45b5-a755-65fd91a67962,NA,NA,NA,TRUE,61,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,6854c131-e83b-48e2-bd74-9fe705fe5573,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,92cd3b6b-a5db-4193-8aa4-c4fd1227b4b6,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,f6c5cfcf-d479-4ebb-94ec-b329882e7857,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,3d0cd34e-7eae-4710-a3b3-2e86a5537786,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,59b85e24-a8e7-4f0d-bde1-d5a70c7dd74d,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,0e0c427c-77b1-438a-a841-7674c7e6c51c,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,d92711e7-b49a-42d3-afbb-163da216bffa,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,a943e89d-5dd6-4efb-8ac3-e64466e6da24,NA,NA,NA,TRUE,3,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,ccf79ff8-7a05-4196-b7f0-be557fbf75fb,CM,26-35,university_degree,TRUE,42,2,2,Later,NA,NA,NA,NA,NA,NA,NA
6,579be79a-21fb-46b7-8494-101c21c18202,NA,NA,NA,TRUE,2,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,4acd2ef6-e0fa-430b-9f32-e2422de3cd71,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,327c62e2-d1cc-4ec1-8acf-3beed5bfbec2,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,3ecfbff2-cc03-4571-bdf8-a0171990810c,NA,NA,NA,TRUE,4,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,25455dbc-7b5c-448a-a479-5096869541db,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,fe07e1eb-3416-4925-b6cd-f72d23efef58,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,ee27dc8d-37bd-42d9-bc55-0ca5147ec5c6,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,cb3ffd2b-a6b3-4b62-8fa3-d0bed2dc6676,NA,NA,NA,TRUE,59,3,3,Later,NA,NA,NA,NA,NA,NA,NA
6,797351de-764c-4861-82bf-2d3c6611fcca,NA,NA,NA,TRUE,1,1,1,Early,NA,NA,NA,NA,NA,NA,NA
6,694a2043-352a-4ad9-8da4-753ceb612772,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,d24c2675-730d-48c4-8e1d-bb566375de72,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,73b735a9-4cc5-4024-bf63-dc752f5faf9b,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,21f00c27-1a78-448a-959b-05b855f8fd0b,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,3fde1744-bfd7-47bd-85cd-4b489b5ec5a0,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,a15a60a3-cdf7-45db-a928-ee9a180a5597,NA,NA,NA,TRUE,21,2,2,Later,NA,NA,NA,NA,NA,NA,NA
6,06a81caf-c42f-444d-8701-d09e0516286d,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,0e41dea4-804c-409e-8ef8-041d78f819ba,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,faada3b8-5106-4c84-99f1-9c9df7672ea4,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
6,866ff61b-8388-4032-b696-10b62b4ff735,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,1453928f-3495-425f-9dec-4b668f1954bf,NA,NA,NA,TRUE,0,NA,0,Early,NA,NA,NA,NA,NA,NA,NA
6,3f2ec338-aba2-46a1-808e-83a819548c23,NA,NA,NA,FALSE,0,NA,0,Not started,NA,NA,NA,NA,NA,NA,NA
